desti,from,gpa,result
"利兹大学
University of Leeds","","",""
"","唐山师范学院","",""
"","","83",""
"","","","申请失败"
"曼彻斯特大学
The University of Manchester","","",""
"","","","申请成功"
"","","","申请失败"
"","","","申请成功"
"","","","申请成功"
"伯明翰大学
University of Birmingham","","",""
"","","77",""
"","","","申请成功"
"","朴次茅斯大学","",""
"","利物浦国际学院","",""
"","","2.47",""
"","","","申请失败"
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"","Community College of City University","",""
"昆士兰大学
The University of Queensland","","",""
"","","","申请成功"
"埃克塞特大学
University of Exeter","","",""
"","","申请时无均分成绩",""
"","","","申请成功"
"","","81.05",""
"","","","申请失败"
"","","2.24",""
"","北萨渥应用科学大学","",""
"","","","申请成功"
"","利物浦大学","",""
"拉夫堡大学
Loughborough University","","",""
"","","","申请成功"
"","","3.2",""
"","中华女子学院","",""
"","中国传媒大学南广学院","",""
"","","76",""
"阿伯丁大学
The University of Aberdeen","","",""
"","","","申请成功"
"","","","申请成功"
"曼彻斯特大学
The University of Manchester","","",""
"","","3",""
"南安普顿大学
University of Southampton","","",""
"","","","申请失败"
"","","81.5",""
"","","","申请失败"
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"","","","申请成功"
"伦敦大学国王学院
King’s College London","","",""
"","","","申请成功"
"利兹大学
University of Leeds","","",""
"","","","申请成功"
"","","3.04",""
"","","","申请成功"
"","","85.5",""
"","中央财经大学","",""
"纽卡斯尔大学
Newcastle University","","",""
"","","","申请成功"
"格拉斯哥大学
University of Glasgow","","",""
"","朴次茅斯大学","",""
"","深圳大学","",""
"","湖南商学院","",""
"","","","申请失败"
"利兹大学
University of Leeds","","",""
"","","","申请失败"
"","南阳理工学院","",""
"","山东财经大学","",""
"考文垂大学
Coventry University","","",""
"","","申请时无均分成绩",""
"巴斯大学
University of Bath","","",""
"雷丁大学
University of Reading","","",""
"利兹大学
University of Leeds","","",""
"","","82",""
"","德蒙福特大学","",""
"","","申请时无均分成绩",""
"","","3.28",""
"","","申请时无均分成绩",""
"","","83",""
"","","","申请成功"
"兰卡斯特大学
Lancaster University","","",""
"","","2.14",""
"格拉斯哥大学
University of Glasgow","","",""
"","","",""
"","山东建筑大学","",""
"利兹大学
University of Leeds","","",""
"","","","申请失败"
"","北京邮电大学","",""
"威斯敏斯特大学
University of Westminster","","",""
"拉夫堡大学
Loughborough University","","",""
